movie,director,music,cast,plot_excerpt
Naan Sollum Ragasiyam,P. Sridhar Rao,[[G. Ramanathan]],[[Sivaji Ganesan]]<br />[[Anjali Devi]],{{no plot|date=July 2022}}
Thangaikkaaga,[[D. Yoganand]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Vennira Aadai Nirmala]]<br />[[Lakshmi (actress)|Lakshmi]]<br />[[R. Muthuraman|Muthuraman]],"{{More plot|date=August 2023}}
Ramu and his sister Radha lead a normal life until Ramu's boss, Moorthy, falls in love with Radha. However, in a shocking turn of events, Radha goes missing and Moorthy is murdered."
Thenum Paalum,[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]]<br />[[B. Saroja Devi]],"Somanathan, a leading advocate, has four daughter's and among them Thangam is his favourite and most beloved daughter. One day on his visit to Madras to attend an important case, an unexpected event happens in Thangam's life. On the day of Somanathan's visit to Madras, businessman Ramu visits Somanathan's place and meets him. The purpose of this visit is to buy a land from Somanathan to build a factory for Ramu's new business. Somanathan introduces Thangam to Ramu and tell his daughter Thangam to guide Ramu to the land site. As per Somanathan's request Ramu stays in Somanathan's guest house next to his bungalow. The next day, both Ramu and Thangam visit the site and Thangam falls in love with Ramu in that trip and also, saves Ramu from a snake bite.

Same night, by mistake Ramu drinks alcohol which looks alike water and got boozed and drunken. With this drunken state he doesn't want to stay at Thangam's place and decided to leave the guest house. While entering the house to inform Thangam's mother about his leaving, he happened to see the only Thangam in a fully romantic. Ramu who is not in his control due the alcohol lose his control and it was accepted by Thangam as she was already in so much affection on Ramu got in physical with each other and shared the bed.

When Ramu realised his mistake, it was too late. When he was trying to escape, he was caught by Thangam's mother who was returning from temple. On her insistence to Ramu to marry Thangam, Ramu reveals that he is already married to Janaki. On Thangam's mother's repeated request and compulsion, Ramu assures that Ramu will marry Thangam only with his wife's acceptance and take Thangam with him. But Thangam's mother does not agree, so finally Ramu has to take Thangam with him to Madras and makes her stay at his office staff Balu's place until he tells his wife all what happened and make his wife to accept his situations and agrees Ramu to marry Thangam.

Now the film revolves around how Ramu manages and handles the issues arises between Janaki and Thangam. Mainly how he handles his mother-in-law aka Janaki's mother and her troublesome doubt relating to Ramu's extra marital affairs.

Meanwhile, while returning from his Madras case visit advocate Somanathan learns that his beloved daughter Thangam went to Rameswaram for a picnic (as informed by his wife (Thangam's mother) and his other daughters) and suspected to be dead in the severe storm struck in the coastal town, Rameswaram. But Somanathan is unable to accept and believe this. So he was in search of his daughter that he will find her one-day alive. In search of his daughter he finally arrives at Ramu's office and seeking his help to search his daughter just in case if she is alive. While they were speaking Ramu receives a phone call from Thangam and without revealing to Somanathan that he is talking to Thangam, Ramu tells Thangam to go back to home safe before any known people of her seeing her.

There comes a great twist (please watch the movie, otherwise it might be a spoiler to this movie). Thangam got pregnant in the meanwhile. Thangam meets a person outside the telephone booth, Who was that person and what happened to Thangam, which makes the remaining story more interesting and complicating to Ramu to handle. Finally the movie ends with a climax of all getting together but, , , watch the movie."
Uththaman,[[V. B. Rajendra Prasad]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[Manjula Vijayakumar|Manjula]],"{{more plot|date=April 2023}}
Gopi is a skating instructor and a tourist guide. He meets Radha, falls in love, makes love and marries her while on vacation. Later, he learns that Radha's father is a millionaire and he disdains Gopi. Radha's father and their relatives manipulate the situation in such a manner that it appears to him that Radha regrets marrying Gopi and has buyer's remorse.

He leaves back to the hill station taking his son only to learn that his son has polio and cannot even walk. Radha meanwhile assumes that Gopi betrayed her and her son is dead. Whether or not they reunite forms the rest of the dramatic story."
Amara Kaaviyam (1981 film),Amirtham,[[M. S. Viswanathan]],{{ubl|[[Sivaji Ganesan]]|[[Sripriya]]|[[Madhavi (actress)|Madhavi]]}},"A young orphan gets a job working for Ramanathan and quickly develops a strong attachment to his boss's daughter, Aruna. However, Ramanathan is displeased with this and fires the young boy. Saraswathi meets the boy, adopts him, and names him Raja. Coincidentally, Saraswathi also works for Ramanathan, and Raja is thrilled to reunite with Aruna. Unfortunately, at Aruna's birthday party, Raja is falsely accused of theft, resulting in Saraswathi losing her job. Tragically, Saraswathi dies due to a heart ailment, but Raja promises to care for his adopted sister Lalitha.

Fifteen years later, Raja has become a wealthy man by catching smugglers and collecting the rewards. In contrast, Ramanathan is struggling financially. Aruna still believes Raja is a thief and wants nothing to do with him. Heartbroken, Raja turns to excessive drinking and finds solace in his friendship with dancer Kanchana. Aruna perceives his drunken behavior as further evidence of his character flaws. Although Kanchana falls in love with Raja, she realizes that he will always carry a torch for Aruna.

Raja befriends an unemployed lawyer named Ananth, and their bond becomes inseparable. As Ramanathan and Aruna discover Raja's secret financial assistance, they grow closer to him. Strengthened by this newfound closeness, Raja arranges a job for Ananth with Ramanathan. He also gains the confidence to confess his love for Aruna and turns to Ananth to write the love letter since he is illiterate. Unfortunately, Aruna misinterprets the letter as a love confession from Ananth and falls for him. Unaware of Raja's true feelings, Ananth also develops feelings for Aruna.

Chinnadurai, a criminal with a soft spot for Kanchana, hears rumors about her closeness to Raja and sets out to kill him. Furthermore, Lalitha's wedding is jeopardized when her prospective in-laws learn about Raja's association with Kanchana. The film reaches its climax as Raja must confront all of his various problems simultaneously."
Sangili (1982 film),[[C. V. Rajendran]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Prabhu (actor)|Prabhu]]<br />[[Sripriya]]<br />[[M. N. Nambiar]],"Inspector-General Sivaraj appoints his son and fellow police officer, the talented and steadfast DSP Saravanan Sivaraj as the Special Officer in-charge of tracking down a virulent, anti-national smuggling ring. Saravanan is a widower with two kids who are being raised by his sister Ganga. When Saravanan gets some firm clues that a reputed local businessman and philanthropist 'Lion' Dayanidhi could be the kingpin behind the cartel, Dayanidhi has him killed by one of his henchmen. Soon after, a distraught Sivaraj, who is desperate to find those behind his son's murder, is introduced by a retired jail superintendent friend to a ferocious criminal lodged in Vellore prison named Sangili who remarkably resembles his son Saravanan in appearance.

Sivaraj decides to reform and train the brutish Sangili to impersonate Saravanan in order to trace those behind Saravanan's death. Sivaraj finds transforming Sangili a seemingly impossible task as Sangili refuses to mend his ways and has his own agenda of seeking revenge against his sister's murderer but eventually succeeds with some help from Ganga and Saravanan's kids. Sangili, now transposing as DSP Saravanan, launches himself into tracking the real Saravanan's killer and bringing down the smuggling cartel. Alongside, he also falls in love with Ganga's friend Anandhi and befriends a local don named Rajali who offers to help him in need. 

Just before his death, Saravanan had scribbled the word 'No17' on a doctor's prescription pad to help identify his killer and Sangili pursues the clue diligently but in vain. While attending a New Year's Eve party hosted by Sivaraj's friend 'Lion' Dayanidhi, Sangili stumbles on to the fact that they had been misreading the clue upside down and Saravanan had actually scribbled the word 'Lion' to implicate Dayanidhi. Sangili soon confronts Dayanidhi on his own as Sivaraj refuses to believe his assertions about Dayanidhi's criminal antecedents. He also encounters his sister's murderer as one of Dayanidhi's associates and gets the opportunity to avenge her death as well, but Dayanidhi becomes aware of Sangili's real identity through his associate and is ready for his moves."
Naam Iruvar (1985 film),[[R. Krishnamoorthy]],[[Gangai Amaran]],[[Sivaji Ganesan]]<br />[[Prabhu (actor)|Prabhu]]<br />[[Urvashi (actress)|Urvashi]]<br />[[Charle]],"Veerayya ([[Sivaji Ganesan]]) is a retired alcoholic soldier that's living in his hometown with his niece, Radha ([[Urvashi (actress)|Urvashi]]). Raja ([[Prabhu (actor)|Prabhu]]) arrives in town as the new teacher and is offered a place to stay at the home of the trustee of the school, Sivagami ([[Srividya]]). Veerayya and Sivagami were in love once but couldn't get married. Her father, Somasundaram ([[V. S. Raghavan]]) was the town leader and  opposed the match due to Veerayya's illiteracy and lack of wealth. Sivagami was set to marry a man that her father chose but he died on the wedding day and she remains unmarried. Veerayya left town due to his heartbreak and joined the army. He now spends his days drinking and fighting against the injustices meted out by Periyadurai ([[V. K. Ramasamy (actor)|V. K. Ramasamy]]) to the townspeople. Periyadurai smuggles drugs, prints counterfeit cash and has murdered townspeople in his bid to become rich and powerful. He's assisted in his misdeeds by his younger brother Chelladurai ([[Sivachandran]]), mistress Mayilu ([[Kovai Sarala]]) and right-hand man Papo ([[Vennira Aadai Moorthy]]).
Veerayya turns over a new leaf and gives up drinking after Raja's interference. Raja also begins to teach Veerayya. Radha and Raja also fall in love. Periyadurai plans to steal the money the townspeople collect to make improvements to the school. His plan is discovered by the Panchayat Board executive officer, Ramalingam ([[V. Gopalakrishnan (actor)|V. Gopalakrishnan]]) who is also Sivagami's brother. Periyadurai's group kills Ramalingam and sets it up to look like he was the thief. This sets Sivagami, Veerayya and Raja against Peryiradurai as the trio work together to uncover the depths of his misdeeds and bring him to justice."
1962,Error,Error,Error,Error
Jallikattu (1987 film),[[Manivannan]],[[Ilaiyaraaja]],{{ubl|[[Sivaji Ganesan]]|[[Sathyaraj]]|[[Radha (actress)|Radha]]|[[M. N. Nambiar]]}},"The story begins with Arjun being arrested for multiple crimes. In the past, Arjun was a happy-go-lucky young man. His brother, a factory's union leader, clashed with his superiors for a bonus. In the meantime, Arjun fell in love with Radha. To help the labourers, Arjun cheated the factory's owners as a fake income tax officer, he managed to take all their black money and he gave it to the labourers. The owners of the factory trap Arjun's brother, sister-in-law and his niece in their house. Arjun's sister in-law is raped and the three are killed. Arjun then tried to kill the culprit and failed. Siva Prasad, Radha's brother, advised him to surrender but, being an innocent in this case, he refused. However, Siva Prasad arrested him by surprise. Arjun was then tortured. Therefore, a bald Arjun comes to the court. Despite everything being against Arjun, the judge Ram Prakash feels that he is innocent. So Ram Prakash sentences that Arjun will be under house arrest on his isolated island.
Ram Prakash and Arjun slowly begin bonding as friends again and Radha shows up again after being removed from the island and shoots Ram Prakash
After few plots, twists and turns, Ram Prakash reveals his motive on choosing Arjun.

Rama Prakash's granddaughter is kidnapped and held at ransom to release a criminal linked to above 3 criminals, and is raped and murdered brutally when Judge Ram Prakash upholds law and sentences the criminal to death by hanging.
Ram Prakash trains Arjun well in many skills and the climax gets interesting on how Arjun overtakes his enemies one by one."
Thayapola Pillai Noolapola Selai,K. Somu,[[K. V. Mahadevan]],[[R. S. Manohar|Manohar]],{{no plot|date=July 2022}}
1978,Error,Error,Error,Error
1985,Error,Error,Error,Error
Lakshmi Vandhachu (film),[[Rajasekhar (director)|Rajasekhar]],[[Raveendran]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]]<br />[[Revathi]],"{{more plot|date=February 2023}}
Rajeshwari is the strict disciplinarian of the family that keeps everyone under her control&nbsp;– particularly her husband Rajasekhar. Her four sons live by her rules without question. When her second son marries, his new wife's younger sister Lakshmi comes to stay with the family. Lakshmi's carefree and easy going attitude endears her to the family but puts her at odds with Rajeshwari. Raja, the family's third son and Lakshmi also fall in love. One of Lakshmi's pranks pushes Rajeshwari to her limit and creates fissures in the family. A crisis eventually sets things in motion to solve all the problems."
Nivuru Gappina Nippu,[[K. Bapayya]],Chakravarty,"{{plainlist|
* [[Krishna (Telugu actor)|Krishna]]
* [[Sivaji Ganesan]]
* [[Jaya Prada]]
* [[M. Prabhakar Reddy]]
* [[Allu Ramalingaiah]]}}",{{No plot|date=October 2021}}
Sampoorna Ramayanam (1958 film),K. Somu,[[K. V. Mahadevan]],[[N. T. Rama Rao]]<br />[[Padmini (actress)|Padmini]],"The film is the complete [[Ramayana]]. It begins at [[Ayodhya (Ramayana)|Ayodhya]] on [[Solar dynasty]]’s present ruler [[Dasharatha]]. He is perturbed as childless so he conducts [[Putrakameshti]] on ordinance of Sage [[Vashishta]], with his 3 wives [[Kausalya]], [[Sumitra]] & [[Kaikeyi]]. Here, [[Vishnu]] with [[Shesha]] Shanku & Chakra incarnated as his 4 sons: [[Rama]], [[Lakshmana]], [[Bharata (Ramayana)|Bharata]], & [[Shatrughna]]. Parallelly, while tilling the ground, [[Janaka]], the king of Mithila, finds the box enclosing the baby whom he rears as [[Sita]]. Time passes, Saint [[Vishvamitra]] arrives and seeks to send Ramalakshmana for the protection of his Yaga. Soon, he endorsed them with powerful armaments, which they used to destroy [[Tataka]] & [[Maricha]] [[Subahu]] and accomplish the Yaga.

Meanwhile, Janaka announces [[Svayamvara]] to Sita when Vishvamitra moves in with the sibling. Amid, Rama transforms a stone form of [[Ahalya]] into normal. Here, the challenge is to affix the world-renowned bow of [[Shiva|Siva]]. However, [[Ravana]] lands therein without an invitation but fails and gets humiliated. All at once, Rama breaks it when enraged [[Parashurama]] confronts him but realizes he is his continuation and backs up. After the wedding of Sita & Rama, Dasharatha announces Rama's crowning ceremony, which immerses Ayodhya. Begrudged Mandhara sly maid of Kaikeyi poisons her to seek her husband, the two boons at the time of the Devasura war. Dasaratha offers to do so, and Kaikeya forces Bharata's crowning and Rama's exile for 14 years. The heartbroken Dasaratha accedes to Kaikeyi's demands. Rama also deliberately accepts his father's reluctant decree and proceeds with Sita & Lakshmana.
[[Guha (Ramayana)|Guha]] crosses them, the [[Ganges]]. After that, Dasaratha dies when Bharata backs and flares up on his mother, which makes her regret. Bharata rushes to retrieve Rama but denies obeying his father's words. So, Bharata obtains his sandals as a gesture and starts ruling Ayodhya.

After 13 years, Rama moved to Panchavati, where Ravana's sister, [[Shurpanakha]], entices him, and Lakshmana cuts off her nose & ears. Being aware of it infuriated Ravana ploys to seize Sita with the aid of the Maricha, who turns into a golden deer. Entranced by its beauty, Sita pleads with Rama to capture it when he chases it, leaving Lakshmana as a guard. Rama shoots it and mimics Rama before dying. Frightened, Sita forces Lakshmana to go, which he obeys but stipulates not to cross the chalk outline he drew. Ravana, in the guise of an ascetic, abducts Sita. [[Jatayu]] tries to arrest Ravana but loses his wings. Ramalakshmana learns about the fatality via him.

Ongoing, they meet an ascetic [[Shabari]], who directs them toward [[Kishkindha]]. So, they step in and befriend [[Hanuman|Anjineeya]] & [[Sugriva]]. Rama kills his malice brother [[Vali (Ramayana)|Vaali]] and crowns him. Then, [[Vanara]] are under the hunt of Seeta. Anjineeya crosses the sea and reaches Lanka, locking Seeta in Ashoka Grove. Here, he bestows the ring and states Rama will take revenge for her insult. Plus, he takes her golden hairband, who returns by setting fire to Lanka and warning Ravana. With the aid of Vanara, Rama constructed a stone bridge over the sea and reached Lanka. [[Vibhishana]], a good Samaritan Ravana's brother, requests him to pardon Rama. As a result, he is ostracized and propitiates with Rama, who promises to bestow Lanka.

The war begins, which destroys most of the demon warriors. So, Ravana awakes his second sibling [[Kumbhakarna]], who is too slaughtered by Rama. Here, [[Indrajit]] creates an illusion of Sita's assassination when Rama faints. Now Lakshmana takes charge and collapses by Indrajit's ""Nagastram."" Anjineeya secures him by ""[[Sanjivani (Hinduism)|Sanjeevani]]"" and he kills Indrajit. Ultimately, Ravana walks to battle when Rama disarms & asks him to arrive tomorrow. The following day, Ravana confronts him with his ten heads. Rama kills Ravana by getting knowledge of his death secret from Vibhishana. Next, Rama asks Sita to undergo an ""Agni Pariksha"" test of fire to prove her innocence, as he wants to eliminate the rumors surrounding her. Sita plunges into the sacrificial fire, and Agni raises Seeta, unharmed, to the throne, attesting to her fidelity. At last, Rama backs Ayodhya with Sita, Lakshmana, Anjineeya, and other Vanaras. Finally, the movie ends happily with the Rama's coronation."
School Master (1959 film),[[B. R. Panthulu]],[[Vasant Desai]],{{ubl|[[Karan Dewan]]|[[Shakila (actress)|Shakila]]|[[B. Saroja Devi]]|Radha Kishan}},The film revolves around an old school master and his noble attempt to transform the students of his native village.
Iruvar Ullam (1963 film),[[L. V. Prasad]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[B. Saroja Devi]],"{{more plot|date=July 2021}}
Selvam, the younger son of a prosecutor Neethimanickam, is a medical student studying in Bangalore. Unlike his righteous father, he is a [[Playboy lifestyle|playboy]]. Vasanthi, a scheming woman, tries to blackmail Selvam into marriage. On his refusal, she writes to his father. Selvam's uncle Gnanasigamani, another lawyer, arrives in Bangalore and pays {{INR}}10,000 to Vasanthi to silence her.

Selvam stops studying and arrives in Madras. He takes over the responsibility of managing his uncle's company. He eventually sees Shanta, a teacher, on the road and pursues her. Shanta dislikes Selvam's continuing old habits, but he eventually transforms and wants to live prosperously with her, yet she continues disliking him.

Shanta is eventually forced by her parents to marry Selvam. When Vasanthi is murdered by her other lover Paramathma, Selvam is wrongfully convicted; this brings the couple closer. Shantha later exposes Paramathma, and Selvam is released."
Thavapudhalavan,[[Muktha Srinivasan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]],"Nirmal (Sivaji Ganesan) is the son of a wealthy family, but he prefers to lead an independent life rather than relying on his family’s wealth. He is a talented musician who plays in an orchestra at a luxury hotel. His passion for music drives him, and despite his affluent background, he finds fulfillment in his work as a musician.One day, Nirmal notices something disturbing: his vision starts to deteriorate at night. He soon realizes that he is suffering from night blindness (nyctalopia), a condition that severely impairs his ability to see in low light or darkness. Fearing that this condition could jeopardize his career and independence, Nirmal decides to keep his ailment a secret from everyone, including his family and colleagues.Vimala (Jayachitra), a dancer at the hotel where Nirmal works, becomes aware of his condition. Recognizing an opportunity, she decides to exploit Nirmal’s vulnerability for her gain. Vimala starts manipulating Nirmal, leading to a complicated and emotionally charged relationship between them. She uses Nirmal’s night blindness to blackmail him, threatening to reveal his secret and ruin his life if he does not comply with her demands.Amidst this turmoil, Nirmal's life is further complicated by his relationship with Radha (K. R. Vijaya), a kind and understanding woman who genuinely loves him. Radha is unaware of Nirmal’s condition and the struggles he is facing. She supports Nirmal and stands by him, even as she senses that something is amiss in his life. Radha’s love and loyalty become a source of strength for Nirmal, but his reluctance to confide in her about his night blindness creates a barrier between them.As Nirmal's condition worsens, he faces increasing challenges in his personal and professional life. His inability to see at night leads to several dangerous situations, and he struggles to maintain his facade. The tension between Nirmal, Vimala, and Radha escalates, with Vimala’s manipulations threatening to destroy Nirmal’s relationship with Radha.The plot thickens when Nirmal’s night blindness leads to a series of dramatic events, including misunderstandings, betrayals, and a tragic accident. As the story reaches its climax, Nirmal is forced to confront the consequences of his secrecy. The truth about his condition eventually comes to light, leading to a confrontation between Nirmal, Vimala, and Radha.In the end, Nirmal’s integrity and resilience help him overcome the challenges posed by his night blindness. He realizes the importance of honesty and trust in his relationships, especially with Radha, who remains steadfast in her support. The film concludes on a poignant note, with Nirmal learning valuable life lessons about love, trust, and the strength to face one’s fears."
Mudhal Thethi,[[P. Neelakantan]],[[T. G. Lingappa]],[[Sivaji Ganesan]]<br />[[Anjali Devi]]<br />[[N. S. Krishnan]]<br />[[T. A. Madhuram]],"Sivagnanam works as a bank clerk.  Though his pay is meagre, he deals with a lot of cash at the bank. His family consists of his wife Lakshmi, a daughter whose marriage is being negotiated and two school going children. The bank where he works crashes and Sivagnanam is unable to find another job.

Dejected, he tries to kill himself so that his insurance money would be made available to the family. His soul reaches the court of Yama, the god of death. Angered by what he deals an irresponsible act, Yama sends him back to earth to see the result of his death. He is able to observe the goings on but is unable to participate. He watches his son being picked up by the police for stealing food, his daughter is molested and his wife drowns herself in a well after murdering the rapist. He realizes his mistake. Thankfully the whole series of events has been a dream."
Mannavan Vanthaanadi,[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Manjula Vijayakumar|Manjula]],{{No plot|date=June 2021}}
Thiruvilaiyadal,[[A. P. Nagarajan]],[[K. V. Mahadevan]],"{{plainlist|
*[[Sivaji Ganesan]]
*[[Savitri (actress)|Savitri]]
*[[K. B. Sundarambal]]}}","The [[Hindus|Hindu]] god [[Shiva]] gives a sacred mango fruit, brought by the sage [[Narada]], to his elder son [[Ganesha|Vinayaka]] as a prize for outsmarting his younger brother [[Kartikeya|Muruga]] in a competition. Angry with his father, Muruga (dressed as a hermit) goes to [[Palani]]. He meets [[Avvaiyar (Sangam poet)|Avvaiyar]], one of his devotees, along the way. Despite her attempts to convince Muruga to return to [[Mount Kailash]], he remains adamant about his decision to leave his family. His mother, the goddess [[Parvati]], arrives there and tells the stories of four of Shiva's divine games to calm Muruga.

The first story is set in [[Madurai]], the capital city of the [[Pandya dynasty|Pandya Kingdom]]. Shenbagapandian, the king, wants to find the answer to a question posed by his wife (whether the fragrance of a woman's hair is natural or artificial), and announces a reward of 1,000 gold coins to anyone who can come up with the answer. Dharumi, a poor poet, desperately wants the reward, and starts to break down in the [[Meenakshi Temple, Madurai|Meenakshi Amman Temple]]. Shiva, hearing him weeping, takes the form of a poet and gives Dharumi a poem containing the answer. Overjoyed, Dharumi takes the poem to Shenbagapandian's [[Royal court|court]] and recites it; however, the court's head poet [[Nakkīraṉãr|Nakkeerar]] claims that the poem's meaning is incorrect. On hearing this, Shiva argues with Nakkeerar about the poem's accuracy and burns him to ashes when he refuses to relent. Later, Shiva revives Nakkeerar and says that he only wanted to test his knowledge. Realising it was Shiva's will that Dharumi should get the reward, Nakkeerar requests Shenbagapandian to give it to Dharumi.

The second story focuses on Shiva marrying [[Sati (Hindu goddess)|Sati]] against the will of her father, [[Daksha]]. Daksha performs a ''[[Yajna|Mahayajna]]'' without inviting his son-in-law. Sati asks Shiva's permission to go to the ceremony, but Shiva refuses to let her go because he feels that no good will come from it. Sati disobeys him and goes, only to be insulted by Daksha. She curses her father and returns to Shiva, who is angry with her. Sati says that they are one; without her, there is no Shiva. He disagrees, and burns her to ashes. He then performs his [[Tandava]], which is noticed by the [[Deva (Hinduism)|Devas]], who pacify him. Shiva restores Sati to life (who is reborn as Parvati) and accepts their oneness.

In the third story, Parvati is banished by Shiva when she is momentarily distracted while listening to his explanation of the [[Vedas]]. Parvati, now born as Kayarkanni, is the daughter of a fisherman. When she is playing with her friends, Shiva approaches in the guise of a fisherman and tries to flirt with her. The fishermen are troubled by a giant shark who disrupts their way of life, and Shiva says that he alone can defeat the shark. After a long battle, Shiva subdues the shark (who is the bull deity [[Nandi (mythology)|Nandi]] in disguise) and marries Parvati.

The last story is about Banabathirar, a devotional singer. Hemanatha Bhagavathar, a talented singer, tries to conquer the Pandya Kingdom when he challenges its musicians. The king's minister advises the king to seek Banabathirar's help against Bhagavathar. When the other musicians spurn the competition, the king orders Banabathirar to compete against Bhagavathar. Knowing that he cannot win, the troubled Banabathirar prays to Shiva—who appears outside Bhagavathar's house in the form of a firewood vendor the night before the competition, and shatters his arrogance by singing ""Paattum Naane"". Shiva introduces himself to Bhagavathar as Banabathirar's student. Sheepish at hearing this, Bhagavathar leaves the kingdom immediately and leaves a letter for Shiva to give to Banabathirar. Shiva gives the letter to Banabathirar, and reveals his true identity; Banabathirar thanks him for his help.

After listening to the stories, Muruga realises that this too was one of Shiva's divine games to test his patience; he then reconciles with his family. The film ends with Avvaiyar singing ""Vaasi Vaasi"" and ""Ondraanavan Uruvil"", in praise of Shiva and Parvati."
Rajapart Rangadurai,[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Ushanandini]],"{{More plot|date=April 2023}}
''Rajapart Rangadurai'' narrates the life journey of a theatre actor. He is parentless who joins the stage under V.K Ramasamy. He takes care of his brother Baskar and sister Seetha. His brother, however, is not content being poor, feigns being rich and marries Vasanthi, the daughter of an industrialist played by T.K Bhagavathi. Rangadurai's plan of getting his sister married from the dowry he would get for his brother's marriage with Alamel, daughter of industrialist Somasundaram is thrown over the bridge by his brother's action. Rangadurai marries Alamel, who was secretly in love with him, being a fan of his stage performances where he is unparalleled and well respected.

Cinema enters the society throwing the troupe into abject poverty. Somasundaram's mill workers, who are fans of Rangadurai's work, support his troupe giving him the chance to recoup. With their love, support and help, the troupe returns to vogue and they become well-off. However, Seetha dies due to ill-treatment at her in-laws while Basker is exposed at his in-laws causing trouble for both. At one stage, Somasundaram and his partner, Mohanraj, refuse to give bonus and the very factory workers who supported him are now in strike. Rangadurai decides to do a free play out of gratitude. With his star-power, Mohanraj is sure that the workers will not relent and decides to assassinate Rangadurai on stage much to the dismay of Somasundaram who does not want to see his daughter widowed as much as he hates Rangadurai."
Annan Oru Koyil,[[K. Vijayan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Sujatha (actress)|Sujatha]]<br />[[Sumithra (actress)|Sumithra]]<br />[[Jai Ganesh]],"{{More plot|date=April 2024}}
Dr. Ramesh dotes on his sister Lakshmi who practically worships her brother. One time, Basker, her friend, tries to rape her and she kills him in the process of defending herself but going into a catatonic state. Fearing that his sister will have to face the law, he takes the blame and starts to run from the law. He finds help in Janaki, his childhood lover while his colleague/junior Dr. Ananth takes it upon himself to get Lakshmi back from her current state. Will she recover and will the brother & sister reunite forms the rest of the story?"
Ezhuthatha Sattangal,[[K. Shankar]],[[Ilaiyaraaja]],[[Sivaji Ganesan]]<br />[[Jaishankar (actor)|Jaishankar]]<br />[[M. N. Nambiar]]<br />[[Prabhu (actor)|Prabhu]]<br />[[Urvashi (actress)|Urvashi]],{{No plot|date=August 2021}}
Kalthoon,[[Major Sundarrajan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]]<br />Major Sundarrajan,"{{more plot|date=April 2023}}
Parameshwaran Goundar, a respected village chieftain and farmer, struggles to sell his land to fund the medical education of his youngest son, Pazhanisamy. Parameshwaran has two other sons: one adopted and one biological. Despite excelling academically, Pazhanisamy develops a reputation as a womanizer, causing great disappointment to his father.

Parameshwaran's own father was a notorious womaniser who murdered his own wife, Parameshwaran's mother when she tried to stop him. When his father's behavior threatened to tarnish the village's reputation, Parameshwaran, placing justice and honor above family, killed his father to restore the community's respect. He served a prison sentence for the act and later earned the position of chieftain for his unwavering commitment to justice.

When Pazhanisamy's behavior begins to mirror that of his grandfather, Parameshwaran publicly confronts him, even striking him at his college. This incident alienates Pazhanisamy from his family, setting the stage for a dramatic conflict. The story culminates in whether Parameshwaran will choose justice over familial ties once more or if Pazhanisamy will repent and change his ways."
